xmin,ymin,x,y,xmax,ymax,x1min,y1min,x1,y1,x1max,y1max,x2min,y2min,x2,y2,x2max,y2max,output
0.47,0.6,0.49,0.6,0.5,0.6,0.46,0.17,0.5,0.17,0.53,0.17,0.49,0.16,0.5,0.16,0.5,0.16,0
0.47,0.6,0.49,0.6,0.5,0.6,0.46,0.17,0.5,0.17,0.53,0.17,0.49,0.15,0.5,0.15,0.5,0.15,0
0.47,0.6,0.49,0.6,0.5,0.6,0.15,0.15,0.5,0.15,0.85,0.15,0.49,0.15,0.5,0.15,0.5,0.15,1
0.49,0.63,0.5,0.63,0.51,0.63,0.47,0.63,0.5,0.63,0.54,0.63,0.5,0.62,0.5,0.62,0.51,0.62,1
0.49,0.63,0.5,0.63,0.51,0.63,0.47,0.63,0.5,0.63,0.54,0.63,0.49,0.16,0.5,0.16,0.5,0.16,0
0.49,0.63,0.5,0.63,0.51,0.63,0.47,0.63,0.5,0.63,0.54,0.63,0.49,0.15,0.5,0.15,0.5,0.15,0
0.49,0.63,0.5,0.63,0.51,0.63,0.47,0.63,0.5,0.63,0.54,0.63,0.48,0.26,0.49,0.26,0.49,0.26,0
0.49,0.63,0.5,0.63,0.51,0.63,0.47,0.63,0.5,0.63,0.54,0.63,0.49,0.29,0.5,0.29,0.5,0.29,0
0.49,0.63,0.5,0.63,0.51,0.63,0.47,0.63,0.5,0.63,0.54,0.63,0.48,0.3,0.48,0.3,0.49,0.3,0
0.49,0.63,0.5,0.63,0.51,0.63,0.47,0.63,0.5,0.63,0.54,0.63,0.5,0.29,0.51,0.29,0.51,0.29,0
0.49,0.63,0.5,0.63,0.51,0.63,0.46,0.17,0.5,0.17,0.53,0.17,0.49,0.16,0.5,0.16,0.5,0.16,0
0.49,0.63,0.5,0.63,0.51,0.63,0.46,0.17,0.5,0.17,0.53,0.17,0.49,0.15,0.5,0.15,0.5,0.15,0
0.49,0.63,0.5,0.63,0.51,0.63,0.15,0.15,0.5,0.15,0.85,0.15,0.49,0.15,0.5,0.15,0.5,0.15,0
0.35,0.65,0.36,0.65,0.36,0.65,0.34,0.64,0.36,0.64,0.38,0.64,0.35,0.64,0.36,0.64,0.36,0.64,1
0.35,0.65,0.36,0.65,0.36,0.65,0.34,0.63,0.4,0.63,0.46,0.63,0.39,0.62,0.4,0.62,0.4,0.62,0
0.35,0.65,0.36,0.65,0.36,0.65,0.34,0.63,0.4,0.63,0.46,0.63,0.39,0.16,0.39,0.16,0.4,0.16,0
0.35,0.65,0.36,0.65,0.36,0.65,0.15,0.15,0.5,0.15,0.85,0.15,0.49,0.15,0.5,0.15,0.5,0.15,0
0.35,0.65,0.36,0.65,0.36,0.65,0.33,0.17,0.39,0.17,0.46,0.17,0.39,0.16,0.39,0.16,0.4,0.16,0
0.39,0.65,0.4,0.65,0.41,0.65,0.38,0.64,0.4,0.64,0.42,0.64,0.39,0.64,0.4,0.64,0.4,0.64,1
0.39,0.65,0.4,0.65,0.41,0.65,0.38,0.64,0.4,0.64,0.42,0.64,0.39,0.62,0.4,0.62,0.4,0.62,0
0.39,0.65,0.4,0.65,0.41,0.65,0.38,0.64,0.4,0.64,0.42,0.64,0.39,0.16,0.39,0.16,0.4,0.16,0
0.39,0.65,0.4,0.65,0.41,0.65,0.34,0.63,0.4,0.63,0.46,0.63,0.39,0.62,0.4,0.62,0.4,0.62,0
0.39,0.65,0.4,0.65,0.41,0.65,0.34,0.63,0.4,0.63,0.46,0.63,0.39,0.16,0.39,0.16,0.4,0.16,0
0.39,0.65,0.4,0.65,0.41,0.65,0.15,0.15,0.5,0.15,0.85,0.15,0.49,0.15,0.5,0.15,0.5,0.15,0
0.39,0.65,0.4,0.65,0.41,0.65,0.33,0.17,0.39,0.17,0.46,0.17,0.39,0.16,0.39,0.16,0.4,0.16,0
0.56,0.65,0.56,0.65,0.57,0.65,0.54,0.64,0.56,0.64,0.59,0.64,0.56,0.64,0.56,0.64,0.57,0.64,1
0.56,0.65,0.56,0.65,0.57,0.65,0.54,0.63,0.61,0.63,0.67,0.63,0.6,0.62,0.61,0.62,0.61,0.62,0
0.56,0.65,0.56,0.65,0.57,0.65,0.54,0.63,0.61,0.63,0.67,0.63,0.6,0.16,0.6,0.16,0.61,0.16,0
0.56,0.65,0.56,0.65,0.57,0.65,0.54,0.17,0.6,0.17,0.67,0.17,0.6,0.16,0.6,0.16,0.61,0.16,0
0.6,0.65,0.61,0.65,0.61,0.65,0.59,0.64,0.61,0.64,0.63,0.64,0.6,0.64,0.61,0.64,0.61,0.64,1
0.6,0.65,0.61,0.65,0.61,0.65,0.59,0.64,0.61,0.64,0.63,0.64,0.6,0.62,0.61,0.62,0.61,0.62,0
0.6,0.65,0.61,0.65,0.61,0.65,0.59,0.64,0.61,0.64,0.63,0.64,0.6,0.16,0.6,0.16,0.61,0.16,0
0.6,0.65,0.61,0.65,0.61,0.65,0.54,0.63,0.61,0.63,0.67,0.63,0.6,0.62,0.61,0.62,0.61,0.62,0
0.6,0.65,0.61,0.65,0.61,0.65,0.54,0.63,0.61,0.63,0.67,0.63,0.6,0.16,0.6,0.16,0.61,0.16,0
0.64,0.65,0.65,0.65,0.66,0.65,0.54,0.63,0.61,0.63,0.67,0.63,0.6,0.16,0.6,0.16,0.61,0.16,0
0.64,0.65,0.65,0.65,0.66,0.65,0.63,0.64,0.65,0.64,0.67,0.64,0.64,0.64,0.65,0.64,0.65,0.64,1
0.64,0.65,0.65,0.65,0.66,0.65,0.64,0.78,0.76,0.78,0.88,0.78,0.68,0.16,0.68,0.16,0.69,0.16,0
0.64,0.65,0.65,0.65,0.66,0.65,0.64,0.78,0.76,0.78,0.88,0.78,0.74,0.29,0.75,0.29,0.75,0.29,0
0.64,0.65,0.65,0.65,0.66,0.65,0.64,0.78,0.76,0.78,0.88,0.78,0.68,0.29,0.68,0.29,0.69,0.29,0
0.64,0.65,0.65,0.65,0.66,0.65,0.64,0.78,0.76,0.78,0.88,0.78,0.68,0.27,0.69,0.27,0.69,0.27,0
0.64,0.65,0.65,0.65,0.66,0.65,0.64,0.78,0.76,0.78,0.88,0.78,0.76,0.19,0.76,0.19,0.77,0.19,0
0.64,0.65,0.65,0.65,0.66,0.65,0.64,0.78,0.76,0.78,0.88,0.78,0.71,0.16,0.72,0.16,0.72,0.16,0
0.64,0.65,0.65,0.65,0.66,0.65,0.64,0.78,0.76,0.78,0.88,0.78,0.66,0.16,0.67,0.16,0.67,0.16,0
0.64,0.65,0.65,0.65,0.66,0.65,0.64,0.78,0.76,0.78,0.88,0.78,0.75,0.27,0.75,0.27,0.75,0.27,0
0.64,0.65,0.65,0.65,0.66,0.65,0.64,0.78,0.76,0.78,0.88,0.78,0.74,0.23,0.75,0.23,0.75,0.23,0
0.64,0.65,0.65,0.65,0.66,0.65,0.64,0.78,0.76,0.78,0.88,0.78,0.71,0.23,0.71,0.23,0.72,0.23,0
0.64,0.65,0.65,0.65,0.66,0.65,0.64,0.78,0.76,0.78,0.88,0.78,0.68,0.23,0.68,0.23,0.69,0.23,0
0.64,0.65,0.65,0.65,0.66,0.65,0.64,0.78,0.76,0.78,0.88,0.78,0.74,0.28,0.74,0.28,0.74,0.28,0
0.64,0.65,0.65,0.65,0.66,0.65,0.64,0.78,0.76,0.78,0.88,0.78,0.71,0.27,0.72,0.27,0.72,0.27,0
0.43,0.65,0.44,0.65,0.45,0.65,0.34,0.63,0.4,0.63,0.46,0.63,0.39,0.62,0.4,0.62,0.4,0.62,0
0.43,0.65,0.44,0.65,0.45,0.65,0.34,0.63,0.4,0.63,0.46,0.63,0.39,0.16,0.39,0.16,0.4,0.16,0
0.43,0.65,0.44,0.65,0.45,0.65,0.42,0.64,0.44,0.64,0.46,0.64,0.44,0.64,0.44,0.64,0.45,0.64,1
0.43,0.65,0.44,0.65,0.45,0.65,0.15,0.15,0.5,0.15,0.85,0.15,0.49,0.15,0.5,0.15,0.5,0.15,0
0.43,0.65,0.44,0.65,0.45,0.65,0.33,0.17,0.39,0.17,0.46,0.17,0.39,0.16,0.39,0.16,0.4,0.16,0
0.38,0.63,0.41,0.63,0.44,0.63,0.34,0.63,0.4,0.63,0.46,0.63,0.39,0.62,0.4,0.62,0.4,0.62,1
0.38,0.63,0.41,0.63,0.44,0.63,0.34,0.63,0.4,0.63,0.46,0.63,0.39,0.16,0.39,0.16,0.4,0.16,0
0.38,0.63,0.41,0.63,0.44,0.63,0.15,0.15,0.5,0.15,0.85,0.15,0.49,0.15,0.5,0.15,0.5,0.15,0
0.38,0.63,0.41,0.63,0.44,0.63,0.33,0.17,0.39,0.17,0.46,0.17,0.39,0.16,0.39,0.16,0.4,0.16,0
0.58,0.63,0.62,0.63,0.65,0.63,0.54,0.63,0.61,0.63,0.67,0.63,0.6,0.62,0.61,0.62,0.61,0.62,1
0.58,0.63,0.62,0.63,0.65,0.63,0.54,0.63,0.61,0.63,0.67,0.63,0.6,0.16,0.6,0.16,0.61,0.16,0
0.58,0.78,0.59,0.78,0.6,0.78,0.54,0.63,0.61,0.63,0.67,0.63,0.6,0.62,0.61,0.62,0.61,0.62,0
0.58,0.78,0.59,0.78,0.6,0.78,0.54,0.63,0.61,0.63,0.67,0.63,0.6,0.16,0.6,0.16,0.61,0.16,0
0.58,0.78,0.59,0.78,0.6,0.78,0.54,0.17,0.6,0.17,0.67,0.17,0.6,0.16,0.6,0.16,0.61,0.16,0
0.41,0.78,0.42,0.78,0.43,0.78,0.34,0.63,0.4,0.63,0.46,0.63,0.39,0.62,0.4,0.62,0.4,0.62,0
0.41,0.78,0.42,0.78,0.43,0.78,0.34,0.63,0.4,0.63,0.46,0.63,0.39,0.16,0.39,0.16,0.4,0.16,0
0.41,0.78,0.42,0.78,0.43,0.78,0.15,0.15,0.5,0.15,0.85,0.15,0.49,0.15,0.5,0.15,0.5,0.15,0
0.41,0.78,0.42,0.78,0.43,0.78,0.33,0.17,0.39,0.17,0.46,0.17,0.39,0.16,0.39,0.16,0.4,0.16,0
0.33,0.67,0.33,0.67,0.33,0.67,0.31,0.63,0.32,0.63,0.34,0.63,0.31,0.63,0.32,0.63,0.32,0.63,1
0.33,0.67,0.33,0.67,0.33,0.67,0.31,0.63,0.32,0.63,0.34,0.63,0.32,0.16,0.33,0.16,0.33,0.16,0
0.33,0.67,0.33,0.67,0.33,0.67,0.31,0.63,0.32,0.63,0.34,0.63,0.31,0.32,0.31,0.32,0.32,0.32,0
0.33,0.67,0.33,0.67,0.33,0.67,0.15,0.15,0.5,0.15,0.85,0.15,0.49,0.15,0.5,0.15,0.5,0.15,0
0.67,0.67,0.67,0.67,0.68,0.67,0.64,0.78,0.76,0.78,0.88,0.78,0.68,0.16,0.68,0.16,0.69,0.16,0
0.67,0.67,0.67,0.67,0.68,0.67,0.64,0.78,0.76,0.78,0.88,0.78,0.74,0.29,0.75,0.29,0.75,0.29,0
0.67,0.67,0.67,0.67,0.68,0.67,0.64,0.78,0.76,0.78,0.88,0.78,0.68,0.29,0.68,0.29,0.69,0.29,0
0.67,0.67,0.67,0.67,0.68,0.67,0.64,0.78,0.76,0.78,0.88,0.78,0.68,0.27,0.69,0.27,0.69,0.27,0
0.67,0.67,0.67,0.67,0.68,0.67,0.64,0.78,0.76,0.78,0.88,0.78,0.76,0.2,0.77,0.2,0.78,0.2,0
0.67,0.67,0.67,0.67,0.68,0.67,0.64,0.78,0.76,0.78,0.88,0.78,0.76,0.19,0.76,0.19,0.77,0.19,0
0.67,0.67,0.67,0.67,0.68,0.67,0.64,0.78,0.76,0.78,0.88,0.78,0.77,0.16,0.77,0.16,0.78,0.16,0
0.67,0.67,0.67,0.67,0.68,0.67,0.64,0.78,0.76,0.78,0.88,0.78,0.71,0.16,0.72,0.16,0.72,0.16,0
0.67,0.67,0.67,0.67,0.68,0.67,0.64,0.78,0.76,0.78,0.88,0.78,0.66,0.16,0.67,0.16,0.67,0.16,0
0.67,0.67,0.67,0.67,0.68,0.67,0.64,0.78,0.76,0.78,0.88,0.78,0.75,0.27,0.75,0.27,0.75,0.27,0
0.67,0.67,0.67,0.67,0.68,0.67,0.64,0.78,0.76,0.78,0.88,0.78,0.74,0.23,0.75,0.23,0.75,0.23,0
0.67,0.67,0.67,0.67,0.68,0.67,0.64,0.78,0.76,0.78,0.88,0.78,0.71,0.23,0.71,0.23,0.72,0.23,0
0.67,0.67,0.67,0.67,0.68,0.67,0.64,0.78,0.76,0.78,0.88,0.78,0.68,0.23,0.68,0.23,0.69,0.23,0
0.67,0.67,0.67,0.67,0.68,0.67,0.64,0.78,0.76,0.78,0.88,0.78,0.74,0.28,0.74,0.28,0.74,0.28,0
0.67,0.67,0.67,0.67,0.68,0.67,0.64,0.78,0.76,0.78,0.88,0.78,0.71,0.27,0.72,0.27,0.72,0.27,0
0.46,0.67,0.47,0.67,0.47,0.67,0.46,0.64,0.47,0.64,0.48,0.64,0.46,0.64,0.47,0.64,0.47,0.64,1
0.46,0.67,0.47,0.67,0.47,0.67,0.15,0.15,0.5,0.15,0.85,0.15,0.49,0.15,0.5,0.15,0.5,0.15,0
0.54,0.67,0.54,0.67,0.54,0.67,0.53,0.64,0.54,0.64,0.55,0.64,0.54,0.64,0.54,0.64,0.55,0.64,1
0.54,0.67,0.54,0.67,0.54,0.67,0.53,0.64,0.54,0.64,0.55,0.64,0.53,0.16,0.54,0.16,0.54,0.16,0
0.22,0.66,0.25,0.66,0.29,0.66,0.19,0.66,0.26,0.66,0.33,0.66,0.25,0.65,0.26,0.65,0.27,0.65,1
0.22,0.66,0.25,0.66,0.29,0.66,0.19,0.66,0.26,0.66,0.33,0.66,0.2,0.29,0.2,0.29,0.2,0.29,0
0.22,0.66,0.25,0.66,0.29,0.66,0.19,0.66,0.26,0.66,0.33,0.66,0.24,0.31,0.25,0.31,0.25,0.31,0
0.22,0.66,0.25,0.66,0.29,0.66,0.19,0.66,0.26,0.66,0.33,0.66,0.22,0.19,0.23,0.19,0.23,0.19,0
0.22,0.66,0.25,0.66,0.29,0.66,0.19,0.66,0.26,0.66,0.33,0.66,0.2,0.2,0.21,0.2,0.21,0.2,0
0.22,0.66,0.25,0.66,0.29,0.66,0.19,0.66,0.26,0.66,0.33,0.66,0.23,0.19,0.24,0.19,0.24,0.19,0
0.22,0.66,0.25,0.66,0.29,0.66,0.19,0.66,0.26,0.66,0.33,0.66,0.22,0.16,0.22,0.16,0.23,0.16,0
0.22,0.66,0.25,0.66,0.29,0.66,0.19,0.66,0.26,0.66,0.33,0.66,0.26,0.28,0.26,0.28,0.26,0.28,0
0.22,0.66,0.25,0.66,0.29,0.66,0.19,0.66,0.26,0.66,0.33,0.66,0.21,0.27,0.21,0.27,0.22,0.27,0
0.22,0.66,0.25,0.66,0.29,0.66,0.19,0.66,0.26,0.66,0.33,0.66,0.2,0.27,0.2,0.27,0.2,0.27,0
0.22,0.66,0.25,0.66,0.29,0.66,0.19,0.66,0.26,0.66,0.33,0.66,0.24,0.27,0.25,0.27,0.25,0.27,0
0.22,0.66,0.25,0.66,0.29,0.66,0.19,0.66,0.26,0.66,0.33,0.66,0.22,0.32,0.22,0.32,0.23,0.32,0
0.22,0.66,0.25,0.66,0.29,0.66,0.19,0.66,0.26,0.66,0.33,0.66,0.25,0.32,0.25,0.32,0.26,0.32,0
0.22,0.66,0.25,0.66,0.29,0.66,0.15,0.15,0.5,0.15,0.85,0.15,0.49,0.15,0.5,0.15,0.5,0.15,0
0.22,0.66,0.25,0.66,0.29,0.66,0.15,0.2,0.23,0.2,0.3,0.2,0.27,0.16,0.28,0.16,0.28,0.16,0
0.22,0.66,0.25,0.66,0.29,0.66,0.15,0.19,0.24,0.19,0.32,0.19,0.27,0.16,0.28,0.16,0.28,0.16,0
0.75,0.65,0.78,0.65,0.82,0.65,0.68,0.64,0.78,0.64,0.88,0.64,0.69,0.63,0.69,0.63,0.69,0.63,0
0.75,0.65,0.78,0.65,0.82,0.65,0.68,0.64,0.78,0.64,0.88,0.64,0.77,0.64,0.78,0.64,0.78,0.64,1
0.75,0.65,0.78,0.65,0.82,0.65,0.68,0.64,0.78,0.64,0.88,0.64,0.82,0.27,0.82,0.27,0.82,0.27,0
0.75,0.65,0.78,0.65,0.82,0.65,0.68,0.64,0.78,0.64,0.88,0.64,0.81,0.27,0.81,0.27,0.81,0.27,0
0.75,0.65,0.78,0.65,0.82,0.65,0.68,0.64,0.78,0.64,0.88,0.64,0.8,0.31,0.8,0.31,0.81,0.31,0
0.75,0.65,0.78,0.65,0.82,0.65,0.68,0.64,0.78,0.64,0.88,0.64,0.8,0.29,0.8,0.29,0.8,0.29,0
0.75,0.65,0.78,0.65,0.82,0.65,0.68,0.64,0.78,0.64,0.88,0.64,0.74,0.29,0.75,0.29,0.75,0.29,0
0.75,0.65,0.78,0.65,0.82,0.65,0.68,0.64,0.78,0.64,0.88,0.64,0.68,0.29,0.68,0.29,0.69,0.29,0
0.75,0.65,0.78,0.65,0.82,0.65,0.68,0.64,0.78,0.64,0.88,0.64,0.68,0.27,0.69,0.27,0.69,0.27,0
0.75,0.65,0.78,0.65,0.82,0.65,0.68,0.64,0.78,0.64,0.88,0.64,0.76,0.2,0.77,0.2,0.78,0.2,0
0.75,0.65,0.78,0.65,0.82,0.65,0.68,0.64,0.78,0.64,0.88,0.64,0.78,0.21,0.79,0.21,0.8,0.21,0
0.75,0.65,0.78,0.65,0.82,0.65,0.68,0.64,0.78,0.64,0.88,0.64,0.8,0.21,0.8,0.21,0.81,0.21,0
0.75,0.65,0.78,0.65,0.82,0.65,0.68,0.64,0.78,0.64,0.88,0.64,0.81,0.22,0.82,0.22,0.82,0.22,0
0.75,0.65,0.78,0.65,0.82,0.65,0.68,0.64,0.78,0.64,0.88,0.64,0.76,0.19,0.76,0.19,0.77,0.19,0
0.75,0.65,0.78,0.65,0.82,0.65,0.68,0.64,0.78,0.64,0.88,0.64,0.77,0.16,0.77,0.16,0.78,0.16,0
0.75,0.65,0.78,0.65,0.82,0.65,0.68,0.64,0.78,0.64,0.88,0.64,0.71,0.16,0.72,0.16,0.72,0.16,0
0.75,0.65,0.78,0.65,0.82,0.65,0.68,0.64,0.78,0.64,0.88,0.64,0.75,0.27,0.75,0.27,0.75,0.27,0
0.75,0.65,0.78,0.65,0.82,0.65,0.68,0.64,0.78,0.64,0.88,0.64,0.8,0.23,0.8,0.23,0.81,0.23,0
0.75,0.65,0.78,0.65,0.82,0.65,0.68,0.64,0.78,0.64,0.88,0.64,0.77,0.23,0.78,0.23,0.78,0.23,0
0.75,0.65,0.78,0.65,0.82,0.65,0.68,0.64,0.78,0.64,0.88,0.64,0.74,0.23,0.75,0.23,0.75,0.23,0
0.75,0.65,0.78,0.65,0.82,0.65,0.68,0.64,0.78,0.64,0.88,0.64,0.71,0.23,0.71,0.23,0.72,0.23,0
0.75,0.65,0.78,0.65,0.82,0.65,0.68,0.64,0.78,0.64,0.88,0.64,0.68,0.23,0.68,0.23,0.69,0.23,0
0.75,0.65,0.78,0.65,0.82,0.65,0.68,0.64,0.78,0.64,0.88,0.64,0.8,0.27,0.8,0.27,0.8,0.27,0
0.75,0.65,0.78,0.65,0.82,0.65,0.68,0.64,0.78,0.64,0.88,0.64,0.78,0.27,0.78,0.27,0.78,0.27,0
0.75,0.65,0.78,0.65,0.82,0.65,0.68,0.64,0.78,0.64,0.88,0.64,0.74,0.28,0.74,0.28,0.74,0.28,0
0.75,0.65,0.78,0.65,0.82,0.65,0.68,0.64,0.78,0.64,0.88,0.64,0.71,0.27,0.72,0.27,0.72,0.27,0
0.75,0.65,0.78,0.65,0.82,0.65,0.64,0.78,0.76,0.78,0.88,0.78,0.68,0.16,0.68,0.16,0.69,0.16,0
0.75,0.65,0.78,0.65,0.82,0.65,0.64,0.78,0.76,0.78,0.88,0.78,0.82,0.27,0.82,0.27,0.82,0.27,0
0.75,0.65,0.78,0.65,0.82,0.65,0.64,0.78,0.76,0.78,0.88,0.78,0.81,0.27,0.81,0.27,0.81,0.27,0
0.75,0.65,0.78,0.65,0.82,0.65,0.64,0.78,0.76,0.78,0.88,0.78,0.8,0.31,0.8,0.31,0.81,0.31,0
0.75,0.65,0.78,0.65,0.82,0.65,0.64,0.78,0.76,0.78,0.88,0.78,0.8,0.29,0.8,0.29,0.8,0.29,0
0.75,0.65,0.78,0.65,0.82,0.65,0.64,0.78,0.76,0.78,0.88,0.78,0.74,0.29,0.75,0.29,0.75,0.29,0
0.75,0.65,0.78,0.65,0.82,0.65,0.64,0.78,0.76,0.78,0.88,0.78,0.68,0.29,0.68,0.29,0.69,0.29,0
0.75,0.65,0.78,0.65,0.82,0.65,0.64,0.78,0.76,0.78,0.88,0.78,0.68,0.27,0.69,0.27,0.69,0.27,0
0.75,0.65,0.78,0.65,0.82,0.65,0.64,0.78,0.76,0.78,0.88,0.78,0.76,0.2,0.77,0.2,0.78,0.2,0
0.75,0.65,0.78,0.65,0.82,0.65,0.64,0.78,0.76,0.78,0.88,0.78,0.78,0.21,0.79,0.21,0.8,0.21,0
0.75,0.65,0.78,0.65,0.82,0.65,0.64,0.78,0.76,0.78,0.88,0.78,0.8,0.21,0.8,0.21,0.81,0.21,0
0.75,0.65,0.78,0.65,0.82,0.65,0.64,0.78,0.76,0.78,0.88,0.78,0.81,0.22,0.82,0.22,0.82,0.22,0
0.75,0.65,0.78,0.65,0.82,0.65,0.64,0.78,0.76,0.78,0.88,0.78,0.76,0.19,0.76,0.19,0.77,0.19,0
0.75,0.65,0.78,0.65,0.82,0.65,0.64,0.78,0.76,0.78,0.88,0.78,0.77,0.16,0.77,0.16,0.78,0.16,0
0.75,0.65,0.78,0.65,0.82,0.65,0.64,0.78,0.76,0.78,0.88,0.78,0.71,0.16,0.72,0.16,0.72,0.16,0
0.75,0.65,0.78,0.65,0.82,0.65,0.64,0.78,0.76,0.78,0.88,0.78,0.66,0.16,0.67,0.16,0.67,0.16,0
0.75,0.65,0.78,0.65,0.82,0.65,0.64,0.78,0.76,0.78,0.88,0.78,0.75,0.27,0.75,0.27,0.75,0.27,0
0.75,0.65,0.78,0.65,0.82,0.65,0.64,0.78,0.76,0.78,0.88,0.78,0.8,0.23,0.8,0.23,0.81,0.23,0
0.75,0.65,0.78,0.65,0.82,0.65,0.64,0.78,0.76,0.78,0.88,0.78,0.77,0.23,0.78,0.23,0.78,0.23,0
0.75,0.65,0.78,0.65,0.82,0.65,0.64,0.78,0.76,0.78,0.88,0.78,0.74,0.23,0.75,0.23,0.75,0.23,0
0.75,0.65,0.78,0.65,0.82,0.65,0.64,0.78,0.76,0.78,0.88,0.78,0.71,0.23,0.71,0.23,0.72,0.23,0
0.75,0.65,0.78,0.65,0.82,0.65,0.64,0.78,0.76,0.78,0.88,0.78,0.68,0.23,0.68,0.23,0.69,0.23,0
0.75,0.65,0.78,0.65,0.82,0.65,0.64,0.78,0.76,0.78,0.88,0.78,0.8,0.27,0.8,0.27,0.8,0.27,0
0.75,0.65,0.78,0.65,0.82,0.65,0.64,0.78,0.76,0.78,0.88,0.78,0.78,0.27,0.78,0.27,0.78,0.27,0
0.75,0.65,0.78,0.65,0.82,0.65,0.64,0.78,0.76,0.78,0.88,0.78,0.74,0.28,0.74,0.28,0.74,0.28,0
0.75,0.65,0.78,0.65,0.82,0.65,0.64,0.78,0.76,0.78,0.88,0.78,0.71,0.27,0.72,0.27,0.72,0.27,0
0.15,0.66,0.17,0.66,0.19,0.66,0.15,0.66,0.17,0.66,0.19,0.66,0.16,0.65,0.17,0.65,0.17,0.65,1
0.15,0.66,0.17,0.66,0.19,0.66,0.15,0.66,0.17,0.66,0.19,0.66,0.15,0.31,0.16,0.31,0.16,0.31,0
0.15,0.66,0.17,0.66,0.19,0.66,0.15,0.66,0.17,0.66,0.19,0.66,0.16,0.32,0.16,0.32,0.17,0.32,0
0.15,0.66,0.17,0.66,0.19,0.66,0.15,0.66,0.17,0.66,0.19,0.66,0.16,0.3,0.17,0.3,0.17,0.3,0
0.15,0.66,0.17,0.66,0.19,0.66,0.15,0.66,0.17,0.66,0.19,0.66,0.17,0.27,0.17,0.27,0.17,0.27,0
0.15,0.66,0.17,0.66,0.19,0.66,0.15,0.66,0.17,0.66,0.19,0.66,0.15,0.27,0.16,0.27,0.16,0.27,0
0.15,0.66,0.17,0.66,0.19,0.66,0.15,0.66,0.17,0.66,0.19,0.66,0.16,0.23,0.16,0.23,0.16,0.23,0
0.15,0.66,0.17,0.66,0.19,0.66,0.15,0.66,0.17,0.66,0.19,0.66,0.16,0.27,0.16,0.27,0.16,0.27,0
0.15,0.66,0.17,0.66,0.19,0.66,0.15,0.66,0.17,0.66,0.19,0.66,0.15,0.3,0.15,0.3,0.16,0.3,0
0.15,0.66,0.17,0.66,0.19,0.66,0.15,0.66,0.17,0.66,0.19,0.66,0.16,0.22,0.17,0.22,0.17,0.22,0
0.17,0.78,0.17,0.78,0.18,0.78,0.15,0.66,0.17,0.66,0.19,0.66,0.16,0.65,0.17,0.65,0.17,0.65,0
0.17,0.78,0.17,0.78,0.18,0.78,0.14,0.74,0.21,0.74,0.28,0.74,0.16,0.65,0.17,0.65,0.17,0.65,0
0.17,0.78,0.17,0.78,0.18,0.78,0.14,0.74,0.21,0.74,0.28,0.74,0.2,0.73,0.21,0.73,0.22,0.73,0
0.17,0.78,0.17,0.78,0.18,0.78,0.14,0.74,0.21,0.74,0.28,0.74,0.21,0.72,0.21,0.72,0.22,0.72,0
0.17,0.78,0.17,0.78,0.18,0.78,0.14,0.74,0.21,0.74,0.28,0.74,0.15,0.31,0.16,0.31,0.16,0.31,0
0.17,0.78,0.17,0.78,0.18,0.78,0.14,0.74,0.21,0.74,0.28,0.74,0.16,0.32,0.16,0.32,0.17,0.32,0
0.17,0.78,0.17,0.78,0.18,0.78,0.14,0.74,0.21,0.74,0.28,0.74,0.16,0.3,0.17,0.3,0.17,0.3,0
0.17,0.78,0.17,0.78,0.18,0.78,0.14,0.74,0.21,0.74,0.28,0.74,0.17,0.27,0.17,0.27,0.17,0.27,0
0.17,0.78,0.17,0.78,0.18,0.78,0.14,0.74,0.21,0.74,0.28,0.74,0.18,0.27,0.18,0.27,0.18,0.27,0
0.17,0.78,0.17,0.78,0.18,0.78,0.14,0.74,0.21,0.74,0.28,0.74,0.19,0.31,0.19,0.31,0.2,0.31,0
0.17,0.78,0.17,0.78,0.18,0.78,0.14,0.74,0.21,0.74,0.28,0.74,0.2,0.29,0.2,0.29,0.2,0.29,0
0.17,0.78,0.17,0.78,0.18,0.78,0.14,0.74,0.21,0.74,0.28,0.74,0.15,0.27,0.16,0.27,0.16,0.27,0
0.17,0.78,0.17,0.78,0.18,0.78,0.14,0.74,0.21,0.74,0.28,0.74,0.16,0.27,0.16,0.27,0.16,0.27,0
0.17,0.78,0.17,0.78,0.18,0.78,0.14,0.74,0.21,0.74,0.28,0.74,0.19,0.21,0.19,0.21,0.2,0.21,0
0.17,0.78,0.17,0.78,0.18,0.78,0.14,0.74,0.21,0.74,0.28,0.74,0.17,0.21,0.18,0.21,0.18,0.21,0
0.17,0.78,0.17,0.78,0.18,0.78,0.14,0.74,0.21,0.74,0.28,0.74,0.2,0.27,0.2,0.27,0.2,0.27,0
0.17,0.78,0.17,0.78,0.18,0.78,0.14,0.74,0.21,0.74,0.28,0.74,0.17,0.23,0.18,0.23,0.18,0.23,0
0.17,0.78,0.17,0.78,0.18,0.78,0.14,0.74,0.21,0.74,0.28,0.74,0.16,0.22,0.17,0.22,0.17,0.22,0
0.17,0.78,0.17,0.78,0.18,0.78,0.14,0.74,0.21,0.74,0.28,0.74,0.19,0.32,0.2,0.32,0.2,0.32,0
0.17,0.78,0.17,0.78,0.18,0.78,0.14,0.73,0.21,0.73,0.29,0.73,0.16,0.65,0.17,0.65,0.17,0.65,0
